vote_id,leg_id,name,vote
ORV00000023,ORL000029,Whitsett.,no
ORV00000024,ORL000011,Ferrioli,no
ORV00000024,ORL000012,George,no
ORV00000024,ORL000013,Girod,no
ORV00000024,ORL000016,Kruse,no
ORV00000024,ORL000019,Morse,no
ORV00000024,ORL000020,Nelson,no
ORV00000024,ORL000021,Olsen,no
ORV00000024,ORL000025,Starr,no
ORV00000024,ORL000026,Telfer,no
ORV00000024,ORL000027,Thomsen,no
ORV00000024,ORL000029,Whitsett,no
ORV00000024,ORL000030,Winters.,no
ORV00000026,ORL000038,Brewer,other
ORV00000026,ORL000048,Frederick,other
ORV00000026,ORL000069,Matthews,other
ORV00000026,ORL000086,Wand.,other
ORV00000029,ORL000012,George,no
ORV00000029,ORL000015,Johnson.,other
ORV00000031,ORL000059,Hoyle.,other
ORV00000033,ORL000032,Barker,other
ORV00000033,ORL000047,Esquivel.,other
ORV00000035,ORL000001,Atkinson,no
ORV00000035,ORL000005,Boquist,no
ORV00000035,ORL000011,Ferrioli,no
ORV00000035,ORL000012,George,no
ORV00000035,ORL000013,Girod,no
ORV00000035,ORL000016,Kruse,no
ORV00000035,ORL000021,Olsen,no
ORV00000035,ORL000029,Whitsett.,no
ORV00000036,ORL000049,Freeman,no
ORV00000036,ORL000053,Gilliam,no
ORV00000036,ORL000079,Sheehan,no
ORV00000036,ORL000086,Wand,no
ORV00000036,ORL000089,Wingard,no
ORV00000036,ORL000035,Berger.,other
ORV00000037,ORL000006,Burdick,other
ORV00000037,ORL000025,Starr.,other
ORV00000041,ORL000054,Greenlick,no
ORV00000041,ORL000066,Kotek.,no
ORV00000042,ORL000011,Ferrioli,no
ORV00000042,ORL000012,George,no
ORV00000042,ORL000016,Kruse,no
ORV00000042,ORL000019,Morse,no
ORV00000042,ORL000020,Nelson,no
ORV00000042,ORL000021,Olsen,no
ORV00000042,ORL000026,Telfer,no
ORV00000042,ORL000027,Thomsen,no
ORV00000042,ORL000028,Verger,no
ORV00000042,ORL000029,Whitsett,no
ORV00000042,ORL000030,Winters,no
ORV00000042,ORL000015,Johnson.,other
ORV00000044,ORL000032,Barker.,other
ORV00000045,ORL000025,Starr,other
ORV00000045,ORL000028,Verger.,other
ORV00000047,ORL000005,Boquist,no
ORV00000047,ORL000020,Nelson,no
ORV00000047,ORL000029,Whitsett,no
ORV00000047,ORL000028,Verger.,other
ORV00000048,ORL000016,Kruse,no
ORV00000048,ORL000025,Starr.,other
ORV00000049,ORL000047,Esquivel,no
ORV00000049,ORL000078,Schaufler.,no
ORV00000050,ORL000015,Johnson,other
ORV00000050,ORL000025,Starr.,other
ORV00000052,ORL000025,Starr.,other
ORV00000054,ORL000012,George,other
ORV00000054,ORL000015,Johnson.,other
ORV00000055,ORL000035,Berger,other
ORV00000055,ORL000039,Buckley,other
ORV00000055,ORL000040,Cameron,other
ORV00000055,ORL000061,Hunt,other
ORV00000055,ORL000076,Richardson,other
ORV00000055,ORL000081,Smith G.,other
ORV00000055,ORL000055,Speaker Hanna,other
ORV00000055,ORL000077,Speaker Roblan.,other
ORV00000056,ORL000001,Atkinson.,other
ORV00000057,ORL000055,Speaker Hanna.,other
ORV00000058,ORL000001,Atkinson.,other
ORV00000059,ORL000072,Nolan,no
ORV00000059,ORL000068,Lindsay,other
ORV00000059,ORL000084,Thompson.,other
ORV00000060,ORL000002,Bates.,other
ORV00000061,ORL000057,Hicks,other
ORV00000061,ORL000076,Richardson.,other
ORV00000062,ORL000001,Atkinson,no
ORV00000062,ORL000005,Boquist,no
