NHL000233,Donna C Mauro,Donna,C,Mauro,,,False,nh,,,,,,2011-06-21 18:49:57.398000,2013-01-04 00:08:31.767000
NHL000234,Frank H McCarthy,Frank,H,McCarthy,,,False,nh,,,,,,2011-06-21 18:49:57.400000,2013-01-04 00:08:31.768000
NHL000236,Donald B McClarren,Donald,B,McClarren,,,False,nh,,,,75e6af880716400593bc699803840bf0,,2011-06-21 18:49:57.404000,2013-01-04 00:08:31.770000
NHL000238,John J McDonnell,John,J,McDonnell,,,False,nh,,,,,,2011-06-21 18:49:57.408000,2013-01-04 00:08:31.771000
NHL000239,Sean M McGuinness,Sean,M,McGuinness,,,False,nh,,,,,,2011-06-21 18:49:57.410000,2013-01-04 00:08:31.772000
NHL000245,Holly L Mecheski,Holly,L,Mecheski,,,False,nh,,,,,,2011-06-21 18:49:57.423000,2013-01-04 00:08:31.779000
NHL000248,Irene M Messier,Irene,M,Messier,,,False,nh,,,,,,2011-06-21 18:49:57.450000,2013-01-04 00:08:31.782000
NHL000252,Charles E Moore,Charles,E,Moore,,,False,nh,,,,,,2011-06-21 18:49:57.458000,2013-01-04 00:08:31.789000
NHL000253,Robert W Moore,Robert,W,Moore,,,False,nh,,,,,,2011-06-21 18:49:57.460000,2013-01-04 00:08:31.790000
NHL000254,Edward P Moran,Edward,P,Moran,,,False,nh,,,,,,2011-06-21 18:49:57.462000,2013-01-04 00:08:31.791000
NHL000255,Philip L Munck,Philip,L,Munck,,,False,nh,,,,,http://www.gencourt.state.nh.us/house/images/memberpics/376988.jpg,2011-06-21 18:49:57.464000,2013-01-04 00:08:31.792000
NHL000256,Brian JX Murphy,Brian,JX,Murphy,,,False,nh,,,,b2ca551265424eb3af0e67c68b984705,,2011-06-21 18:49:57.466000,2013-01-04 00:08:31.794000
NHL000258,Chris F Nevins,Chris,F,Nevins,,,False,nh,,,,,http://www.gencourt.state.nh.us/house/images/memberpics/376791.jpg,2011-06-21 18:49:57.470000,2013-01-04 00:08:31.802000
NHL000259,Clifford A Newton,Clifford,A,Newton,,,False,nh,,,,,,2011-06-21 18:49:57.473000,2013-01-04 00:08:31.803000
NHL000265,William H O'Connor,William,H,O'Connor,,,False,nh,,,,,,2011-06-21 18:49:57.505000,2013-01-04 00:08:31.811000
NHL000268,Bill Ohm,Bill,,Ohm,,,False,nh,,,,b8ce1731eca54e1b9f0c7691fe7a8673,,2011-06-21 18:49:57.511000,2013-01-04 00:08:31.814000
NHL000269,Richard Okerman,Richard,,Okerman,,,False,nh,,,,,,2011-06-21 18:49:57.513000,2013-01-04 00:08:31.815000
NHL000274,David J Palfrey,David,J,Palfrey,,,False,nh,,,,,,2011-06-21 18:49:57.524000,2013-01-04 00:08:31.820000
NHL000277,William D Panek,William,D,Panek,,,False,nh,,,,,,2011-06-21 18:49:57.530000,2013-01-04 00:08:31.823000
NHL000295,Maurice L Pilotte,Maurice,L,Pilotte,,,False,nh,,,,,,2011-06-21 18:49:57.629000,2013-01-04 00:08:31.845000
NHL000301,Mark L Proulx,Mark,L,Proulx,,,False,nh,,,,,,2011-06-21 18:49:57.651000,2013-01-04 00:08:31.849000
NHL000309,Michael T Reed,Michael,T,Reed,,,False,nh,,,,,http://www.gencourt.state.nh.us/house/images/memberpics/377008.jpg,2011-06-21 18:49:57.680000,2013-01-04 00:08:31.855000
NHL000310,Kevin E Reichard,Kevin,E,Reichard,,,False,nh,,,,,,2011-06-21 18:49:57.682000,2013-01-04 00:08:31.856000
NHL000319,Jon F Richardson,Jon,F,Richardson,,,False,nh,,,,,,2011-06-21 18:49:57.702000,2013-01-04 00:08:31.868000
NHL000320,Glenn F Ritter,Glenn,F,Ritter,,,False,nh,,,,,,2011-06-21 18:49:57.704000,2013-01-04 00:08:31.869000
NHL000321,David S Robbins,David,S,Robbins,,,False,nh,,,,fc74ef188ba14dd0accac0ad8fc12e7d,,2011-06-21 18:49:57.706000,2013-01-04 00:08:31.870000
NHL000322,Jenna J Roberts,Jenna,J,Roberts,,,False,nh,,,,,,2011-06-21 18:49:57.718000,2013-01-04 00:08:31.871000
