leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
ALL000103,committee member,2011-2014,,lower,al,,ALC000014,Rules,,,
ALL000103,committee member,2011-2014,,lower,al,,ALC000013,Madison County Legislation,,,
ALL000104,member,2011-2014,95,lower,al,Republican,,,,,
ALL000104,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000104,committee member,2011-2014,,lower,al,,ALC000067,County and Municipal Government,,,
ALL000104,committee member,2011-2014,,lower,al,,ALC000037,Baldwin County Legislation,,,
ALL000105,member,2011-2014,67,lower,al,Democratic,,,,,
ALL000105,committee member,2011-2014,,lower,al,,ALC000008,Local Legislation,,,
ALL000105,committee member,2011-2014,,lower,al,,ALC000003,Technology and Research,,,
ALL000105,committee member,2011-2014,,lower,al,,ALC000004,"Boards, Agencies and Commissions",,,
ALL000106,member,2011-2014,62,lower,al,Republican,,,,,
ALL000106,committee member,2011-2014,,lower,al,,ALC000014,Rules,,,
ALL000106,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000106,committee member,2011-2014,,lower,al,,ALC000006,"Constitutions, Campaigns and Elections",,,
ALL000106,committee member,2011-2014,,lower,al,,ALC000023,Tuscaloosa County Legislation,,,
ALL000107,member,2011-2014,17,lower,al,Republican,,,,,
ALL000107,committee member,2011-2014,,lower,al,,ALC000001,Ways and Means General Fund,,,
ALL000107,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000108,member,2011-2014,103,lower,al,Democratic,,,,,
ALL000108,committee member,2011-2014,,lower,al,,ALC000004,"Boards, Agencies and Commissions",,,
ALL000108,committee member,2011-2014,,lower,al,,ALC000019,Education Policy,,,
ALL000108,committee member,2011-2014,,lower,al,,ALC000011,Internal Affairs,,,
ALL000108,committee member,2011-2014,,lower,al,,ALC000002,Mobile County Legislation,,,
ALL000109,member,2011-2014,91,lower,al,Republican,,,,,
ALL000109,committee member,2011-2014,,lower,al,,ALC000022,Commerce and Small Business,,,
ALL000109,committee member,2011-2014,,lower,al,,ALC000006,"Constitutions, Campaigns and Elections",,,
ALL000109,committee member,2011-2014,,lower,al,,ALC000026,Military and Veterans' Affairs,,,
ALL000110,member,2011-2014,59,lower,al,Democratic,,,,,
ALL000110,committee member,2011-2014,,lower,al,,ALC000003,Technology and Research,,,
ALL000110,committee member,2011-2014,,lower,al,,ALC000012,Ethics and Campaign Finance,,,
ALL000110,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000111,member,2011-2014,18,lower,al,Democratic,,,,,
ALL000111,committee member,2011-2014,,lower,al,,ALC000017,State Government,,,
ALL000112,member,2011-2014,90,lower,al,Democratic,,,,,
ALL000112,committee member,2011-2014,,lower,al,,ALC000001,Ways and Means General Fund,,,
ALL000112,committee member,2011-2014,,lower,al,,ALC000024,Public Safety and Homeland Security,,,
ALL000112,committee member,2011-2014,,lower,al,,ALC000011,Internal Affairs,,,
ALL000113,member,2011-2014,53,lower,al,Democratic,,,,,
ALL000113,committee member,2011-2014,,lower,al,,ALC000006,"Constitutions, Campaigns and Elections",,,
ALL000113,committee member,2011-2014,,lower,al,,ALC000067,County and Municipal Government,,,
ALL000113,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000114,member,2011-2014,29,lower,al,Republican,,,,,
ALL000114,committee member,2011-2014,,lower,al,,ALC000017,State Government,,,
ALL000114,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000114,committee member,2011-2014,,lower,al,,ALC000021,Children and Senior Advocacy,,,
ALL000115,member,2011-2014,11,lower,al,Republican,,,,,
ALL000115,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000115,committee member,2011-2014,,lower,al,,ALC000020,County and Municiple Government,,,
ALL000118,member,2011-2014,63,lower,al,Republican,,,,,
ALL000118,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000118,committee member,2011-2014,,lower,al,,ALC000005,Judiciary,,,
ALL000118,committee member,2011-2014,,lower,al,,ALC000003,Technology and Research,,,
ALL000118,committee member,2011-2014,,lower,al,,ALC000023,Tuscaloosa County Legislation,,,
ALL000119,member,2011-2014,26,lower,al,Republican,,,,,
ALL000119,committee member,2011-2014,,lower,al,,ALC000014,Rules,,,
ALL000119,committee member,2011-2014,,lower,al,,ALC000009,Insurance,,,
ALL000120,member,2011-2014,13,lower,al,Republican,,,,,
ALL000120,committee member,2011-2014,,lower,al,,ALC000015,"Transportation, Utilities and Infrastructure",,,
ALL000120,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000120,committee member,2011-2014,,lower,al,,ALC000004,"Boards, Agencies and Commissions",,,
ALL000120,committee member,2011-2014,,lower,al,,ALC000021,Children and Senior Advocacy,,,
ALL000121,member,2011-2014,23,lower,al,Democratic,,,,,
ALL000121,committee member,2011-2014,,lower,al,,ALC000005,Judiciary,,,
ALL000121,committee member,2011-2014,,lower,al,,ALC000015,"Transportation, Utilities and Infrastructure",,,
ALL000121,committee member,2011-2014,,lower,al,,ALC000021,Children and Senior Advocacy,,,
ALL000123,member,2011-2014,52,lower,al,Democratic,,,,,
ALL000123,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000123,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000124,member,2011-2014,20,lower,al,Republican,,,,,
ALL000124,committee member,2011-2014,,lower,al,,ALC000005,Judiciary,,,
ALL000124,committee member,2011-2014,,lower,al,,ALC000004,"Boards, Agencies and Commissions",,,
ALL000124,committee member,2011-2014,,lower,al,,ALC000026,Military and Veterans' Affairs,,,
ALL000124,committee member,2011-2014,,lower,al,,ALC000013,Madison County Legislation,,,
ALL000125,member,2011-2014,55,lower,al,Democratic,,,,,
ALL000125,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000125,committee member,2011-2014,,lower,al,,ALC000010,Economic Development and Tourism,,,
ALL000125,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000127,member,2011-2014,64,lower,al,Republican,,,,,
ALL000127,committee member,2011-2014,,lower,al,,ALC000017,State Government,,,
ALL000127,committee member,2011-2014,,lower,al,,ALC000024,Public Safety and Homeland Security,,,
ALL000127,committee member,2011-2014,,lower,al,,ALC000037,Baldwin County Legislation,,,
ALL000129,member,2011-2014,54,lower,al,Democratic,,,,,
ALL000129,committee member,2011-2014,,lower,al,,ALC000067,County and Municipal Government,,,
ALL000129,committee member,2011-2014,,lower,al,,ALC000012,Ethics and Campaign Finance,,,
ALL000129,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000129,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000130,member,2011-2014,51,lower,al,Republican,,,,,
ALL000130,committee member,2011-2014,,lower,al,,ALC000008,Local Legislation,,,
ALL000130,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000130,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000131,member,2011-2014,81,lower,al,Republican,,,,,
ALL000131,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000131,committee member,2011-2014,,lower,al,,ALC000017,State Government,,,
ALL000131,committee member,2011-2014,,lower,al,,ALC000003,Technology and Research,,,
ALL000131,committee member,2011-2014,,lower,al,,ALC000028,Lee County Legislation,,,
ALL000132,member,2011-2014,80,lower,al,Republican,,,,,
ALL000132,committee member,2011-2014,,lower,al,,ALC000027,Financial Services,,,
ALL000132,committee member,2011-2014,,lower,al,,ALC000019,Education Policy,,,
ALL000132,committee member,2011-2014,,lower,al,,ALC000028,Lee County Legislation,,,
ALL000133,member,2011-2014,42,lower,al,Republican,,,,,
ALL000133,committee member,2011-2014,,lower,al,,ALC000015,"Transportation, Utilities and Infrastructure",,,
ALL000133,committee member,2011-2014,,lower,al,,ALC000022,Commerce and Small Business,,,
ALL000133,committee member,2011-2014,,lower,al,,ALC000029,Shelby County Legislation,,,
ALL000134,member,2011-2014,82,lower,al,Democratic,,,,,
ALL000134,committee member,2011-2014,,lower,al,,ALC000022,Commerce and Small Business,,,
ALL000134,committee member,2011-2014,,lower,al,,ALC000009,Insurance,,,
ALL000134,committee member,2011-2014,,lower,al,,ALC000028,Lee County Legislation,,,
ALL000135,member,2011-2014,49,lower,al,Republican,,,,,
ALL000135,committee member,2011-2014,,lower,al,,ALC000022,Commerce and Small Business,,,
ALL000135,committee member,2011-2014,,lower,al,,ALC000019,Education Policy,,,
ALL000135,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000135,committee member,2011-2014,,lower,al,,ALC000029,Shelby County Legislation,,,
ALL000136,member,2011-2014,5,lower,al,Republican,,,,,
ALL000136,committee member,2011-2014,,lower,al,,ALC000067,County and Municipal Government,,,
ALL000136,committee member,2011-2014,,lower,al,,ALC000012,Ethics and Campaign Finance,,,
ALL000137,member,2011-2014,47,lower,al,Republican,,,,,
ALL000137,committee member,2011-2014,,lower,al,,ALC000022,Commerce and Small Business,,,
ALL000137,committee member,2011-2014,,lower,al,,ALC000004,"Boards, Agencies and Commissions",,,
ALL000137,committee member,2011-2014,,lower,al,,ALC000007,Jefferson County Legislation,,,
ALL000139,member,2011-2014,36,lower,al,Republican,,,,,
ALL000139,committee member,2011-2014,,lower,al,,ALC000014,Rules,,,
ALL000139,committee member,2011-2014,,lower,al,,ALC000006,"Constitutions, Campaigns and Elections",,,
ALL000139,committee member,2011-2014,,lower,al,,ALC000067,County and Municipal Government,,,
ALL000140,member,2011-2014,75,lower,al,Republican,,,,,
ALL000140,committee member,2011-2014,,lower,al,,ALC000001,Ways and Means General Fund,,,
ALL000140,committee member,2011-2014,,lower,al,,ALC000008,Local Legislation,,,
ALL000140,committee member,2011-2014,,lower,al,,ALC000009,Insurance,,,
ALL000140,committee member,2011-2014,,lower,al,,ALC000038,Montgomery County Legislation,,,
ALL000138,member,2011-2014,6,lower,al,Republican,,,,,
ALL000138,committee member,2011-2014,,lower,al,,ALC000016,Ways and Means Education,,,
ALL000138,committee member,2011-2014,,lower,al,,ALC000003,Technology and Research,,,
ALL000138,committee member,2011-2014,,lower,al,,ALC000019,Education Policy,,,
ALL000138,committee member,2011-2014,,lower,al,,ALC000013,Madison County Legislation,,,
ALL000071,member,2011-2014,2,lower,al,Republican,,,,,
ALL000071,committee member,2011-2014,,lower,al,,ALC000015,"Transportation, Utilities and Infrastructure",,,
ALL000071,committee member,2011-2014,,lower,al,,ALC000014,Rules,,,
ALL000071,committee member,2011-2014,,lower,al,,ALC000001,Ways and Means General Fund,,,
ALL000071,committee member,2011-2014,,lower,al,,ALC000012,Ethics and Campaign Finance,,,
ALL000074,member,2011-2014,19,lower,al,Democratic,,,,,
ALL000074,committee member,2011-2014,,lower,al,,ALC000001,Ways and Means General Fund,,,
ALL000074,committee member,2011-2014,,lower,al,,ALC000025,Health,,,
ALL000074,committee member,2011-2014,,lower,al,,ALC000021,Children and Senior Advocacy,,,
ALL000074,committee member,2011-2014,,lower,al,,ALC000013,Madison County Legislation,,,
ALL000126,member,2011-2014,105,lower,al,Republican,,,,,
ALL000126,committee member,2011-2014,,lower,al,,ALC000004,"Boards, Agencies and Commissions",,,
