state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
wa,2013-2014,upper,SB 5431,Recognizing hydroelectricity as an eligible renewable resource in the energy independence act.,2013-01-31 02:45:01.939000,2013-02-15 04:03:09.674000,bill,Energy|Public Services
wa,2013-2014,upper,SB 5432,Concerning hydroelectric power.,2013-01-31 02:45:01.944000,2013-02-15 04:03:09.724000,bill,Energy|Public Services
wa,2013-2014,upper,SB 5433,Concerning mid-level dental professionals.,2013-01-31 02:45:01.951000,2013-02-15 04:03:09.893000,bill,Health
wa,2013-2014,upper,SB 5434,Addressing the filing and public disclosure of health care provider compensation.,2013-01-31 02:45:01.903000,2013-02-26 04:24:52.148000,bill,Other|Health|Insurance
wa,2013-2014,upper,SB 5435,Regarding the creation of a storm water compliance project.,2013-01-31 02:45:01.910000,2013-02-22 04:26:53.430000,bill,Environmental|State Agencies
wa,2013-2014,upper,SB 5436,Making specific prosecution and defense documents and materials exempt from public inspection and copying.,2013-01-31 02:45:01.918000,2013-02-20 04:18:27.968000,bill,Other|Crime
wa,2013-2014,upper,SB 5437,Regarding boating safety.,2013-01-31 02:45:01.922000,2013-02-28 04:36:35.352000,bill,Recreation|Transportation|Civil Liberties and Civil Rights
wa,2013-2014,upper,SB 5438,Using conservation achieved by a qualifying utility in excess of its biennial acquisition target under the energy independence act.,2013-01-31 02:45:03.298000,2013-02-28 04:37:27.417000,bill,Public Services
wa,2013-2014,upper,SB 5439,"Concerning the administrative costs for the allocation, management, and oversight of housing trust fund investments.",2013-01-31 02:45:03.302000,2013-02-28 04:37:27.476000,bill,Commerce|State Agencies|Public Services|Housing and Property
wa,2013-2014,upper,SB 5440,Creating support public schools special license plates.,2013-01-31 02:45:02.201000,2013-02-26 04:24:58.686000,bill,State Agencies|Education|Transportation
wa,2013-2014,upper,SB 5441,Prioritizing state investments in storm water control.,2013-01-31 02:45:02.197000,2013-02-22 04:26:57.868000,bill,Environmental|State Agencies
wa,2013-2014,upper,SB 5442,Protecting the state's interest in collecting deferred property taxes.,2013-01-31 02:45:02.784000,2013-02-28 04:37:02.061000,bill,"State Agencies|Budget, Spending, and Taxes"
wa,2013-2014,upper,SB 5443,Creating greater efficiency in the offices of county assessors by allowing notification via electronic means.,2013-01-31 02:45:02.205000,2013-02-23 04:29:29.640000,bill,"Budget, Spending, and Taxes|Municipal and County Issues"
wa,2013-2014,upper,SB 5444,Creating greater efficiency in the offices of county assessor by eliminating the requirement to annually appraise tax-exempt government properties.,2013-01-31 02:45:02.773000,2013-02-28 04:37:01.226000,bill,"Housing and Property|Budget, Spending, and Taxes|Municipal and County Issues"
wa,2013-2014,upper,SB 5445,Funding capital projects.,2013-01-31 02:45:02.182000,2013-02-26 04:24:58.381000,bill,"Other|Budget, Spending, and Taxes"
wa,2013-2014,upper,SB 5446,Providing a process for the state auditor's office to apply for investigative subpoenas.,2013-01-31 02:45:02.193000,2013-02-28 04:36:40.223000,bill,Other
wa,2013-2014,upper,SB 5447,Addressing the unintentional lapses of long-term care insurance policies.,2013-01-31 02:45:02.189000,2013-02-20 04:18:33.379000,bill,Health|Business and Consumers|Insurance
wa,2013-2014,upper,SB 5448,"Narrowing the requirement that utilities purchase electricity, renewable energy credits, or electric generating facilities that are not needed to serve their customers' loads.",2013-01-31 02:45:02.217000,2013-02-15 04:03:15.507000,bill,Public Services
wa,2013-2014,upper,SB 5449,Addressing the Washington state health insurance pool.,2013-01-31 02:45:02.213000,2013-03-01 04:32:14.558000,bill,Health|Insurance|Legislative Affairs
wa,2013-2014,upper,SB 5450,Concerning public hospital districts insurance coverage for commissioners.,2013-01-31 02:45:02.632000,2013-02-28 04:36:56.732000,bill,Health
wa,2013-2014,upper,SB 5451,Supporting music education for young children in public schools.,2013-01-31 02:45:02.636000,2013-02-15 04:03:35.128000,bill,Recreation|Education
wa,2013-2014,upper,SB 5452,Modifying stalking and harassment protection order provisions.,2013-02-01 02:56:47.032000,2013-02-28 04:36:56.589000,bill,Other|Legal Issues|Crime
wa,2013-2014,upper,SB 5453,Extending the expiration date of tax exemptions for honey beekeepers.,2013-02-01 02:56:47.037000,2013-02-26 04:25:17.401000,bill,"Agriculture and Food|Business and Consumers|Budget, Spending, and Taxes"
