state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ne,102,upper,LB 1052,Change provisions relating to maintenance of drainage facilities on county roads,2012-08-31 01:32:31.755000,2012-09-01 01:31:12.639000,bill,
ne,102,upper,LB 1053,Create Nebraska Tourism Commission and transfer powers and duties from the Travel and Tourism Division of the Department of Economic Development,2012-08-31 01:32:31.778000,2012-09-01 01:31:12.658000,bill,
ne,102,upper,LB 1053A,Appropriation Bill,2012-08-31 01:32:31.797000,2012-09-01 01:31:12.665000,bill,
ne,102,upper,LB 1054,Change contract coverage under the Motor Vehicle Service Contract Reimbursement Insurance Act,2012-08-31 01:32:31.937000,2012-09-01 01:31:12.677000,bill,
ne,102,upper,LB 1054A,Appropriation Bill,2012-08-31 01:32:32.004000,2012-09-01 01:31:12.684000,bill,
ne,102,upper,LB 1055,Appropriate funds for a Kearney Division nursing and allied health professions facility,2012-08-31 01:32:32.014000,2012-09-01 01:31:12.688000,bill,
ne,102,upper,LB 1056,Change provisions relating to harassment and domestic abuse protection orders,2012-08-31 01:32:32.024000,2012-09-29 01:13:11.471000,bill,
ne,102,upper,LB 1057,Change the Nebraska Corn Resources Act,2012-08-31 01:32:32.048000,2012-10-19 01:04:43.173000,bill,
ne,102,upper,LB 1057A,Appropriation Bill,2012-08-31 01:32:32.093000,2012-09-01 01:31:12.813000,bill,
ne,102,upper,LB 1058,Change the Employment Security Law and the New Hire Reporting Act,2012-08-31 01:32:32.126000,2012-09-01 01:31:12.821000,bill,
ne,102,upper,LB 1059,Adopt the State Officers Compensation Act,2012-08-31 01:32:32.241000,2012-09-01 01:31:12.826000,bill,
ne,102,upper,LB 106,Authorize the use of county sales and use taxes for public safety services as prescribed,2011-09-22 17:37:51.048000,2012-09-01 01:30:57.872000,bill,
ne,102,upper,LB 1060,Change procedures for adoption and promulgation of rules and regulations,2012-08-31 01:32:32.304000,2012-09-01 01:31:12.829000,bill,
ne,102,upper,LB 1061,Change provisions relating to valuation of agricultural land,2012-08-31 01:32:32.326000,2012-09-01 01:31:12.832000,bill,
ne,102,upper,LB 1062,Change provisions relating to adoption assistance,2012-08-31 01:32:32.448000,2012-09-01 01:31:12.838000,bill,
ne,102,upper,LB 1063,Adopt the Children's Health and Treatment Act,2012-08-31 01:32:32.541000,2012-09-01 01:31:12.851000,bill,
ne,102,upper,LB 1063A,Appropriation Bill,2012-08-31 01:32:32.567000,2012-09-01 01:31:12.857000,bill,
ne,102,upper,LB 1064,Permit the procurement of certain disability insurance from a nonadmitted insurer under the Surplus Lines Insurance Act,2012-08-31 01:32:32.699000,2012-09-01 01:31:12.866000,bill,
ne,102,upper,LB 1065,Appropriate facility construction funds for the Lincoln Division of the University of Nebraska Medical Center College of Nursing,2012-08-31 01:32:32.731000,2012-09-01 01:31:12.874000,bill,
ne,102,upper,LB 1066,Appropriate funds for planning and design of a veterinary diagnostic laboratory facility,2012-08-31 01:32:32.740000,2012-09-01 01:31:12.878000,bill,
ne,102,upper,LB 1067,Change restrictions on keno,2012-08-31 01:32:32.761000,2012-11-01 01:02:33.771000,bill,
ne,102,upper,LB 1068,Create and provide duties for the Medicaid in the Public Schools Task Force,2012-08-31 01:32:32.774000,2012-09-01 01:31:12.884000,bill,
ne,102,upper,LB 1069,Change provisions relating to tax sales to collect delinquent property taxes,2012-08-31 01:32:32.782000,2012-09-01 01:31:12.887000,bill,
ne,102,upper,LB 107,"Change Grain Sorghum Development, Utilization, and Marketing Board provisions",2011-09-22 17:37:51.060000,2012-09-01 01:30:57.890000,bill,
ne,102,upper,LB 1070,Change eligibility provisions for petitioning on the general election ballot,2012-08-31 01:32:32.809000,2012-09-01 01:31:12.890000,bill,
ne,102,upper,LB 1071,Extend the deadline for acceptance of applications under the Convention Center Facility Financing Assistance Act,2012-08-31 01:32:32.825000,2012-09-01 01:31:12.893000,bill,
ne,102,upper,LB 1072,Provide for payment of claims against the state,2012-08-31 01:32:32.922000,2012-09-01 01:31:12.899000,bill,
ne,102,upper,LB 1073,Deny payment of certain claims against the state,2012-08-31 01:32:32.936000,2012-09-01 01:31:12.904000,bill,
ne,102,upper,LB 1074,Provide duties for the State Department of Education relating to the federal Family Educational Rights and Privacy Act,2012-08-31 01:32:32.946000,2012-09-01 01:31:12.907000,bill,
ne,102,upper,LB 1075,Provide for assessment of rent-restricted housing projects by the Property Tax Administrator,2012-08-31 01:32:32.974000,2012-09-01 01:31:12.910000,bill,
ne,102,upper,LB 1076,Change requirements for copies of public records and speaking at public meetings,2012-08-31 01:32:32.982000,2012-09-01 01:31:12.926000,bill,
ne,102,upper,LB 1077,Require certain health care facilities to offer vaccinations to residents and patients,2012-08-31 01:32:33.009000,2012-09-01 01:31:12.932000,bill,
ne,102,upper,LB 1078,Require manager of a liquor licensee to complete training as prescribed,2012-08-31 01:32:33.030000,2012-09-01 01:31:12.936000,bill,
ne,102,upper,LB 1079,Provide grants for educational bridge programs for low-income adults,2012-08-31 01:32:33.077000,2012-09-01 01:31:12.942000,bill,
ne,102,upper,LB 1079A,Appropriation Bill,2012-08-31 01:32:33.100000,2012-09-01 01:31:12.951000,bill,
ne,102,upper,LB 108,Change provisions relating to division fences,2011-09-22 17:37:51.077000,2012-09-01 01:30:57.898000,bill,
ne,102,upper,LB 1080,Provide a property tax exemption and a sales and use tax exemption relating to data centers,2012-08-31 01:32:33.220000,2012-09-01 01:31:12.958000,bill,
ne,102,upper,LB 1081,Provide for free antlerless deer hunting permits for farmers as prescribed,2012-08-31 01:32:33.260000,2012-09-01 01:31:12.972000,bill,
ne,102,upper,LB 1082,Change police officers and firefighters retirement systems provisions,2012-08-31 01:32:33.289000,2012-09-01 01:31:13.038000,bill,
ne,102,upper,LB 1083,Clarify permitted practices under the Nurse Practice Act,2012-08-31 01:32:33.321000,2012-09-01 01:31:13.046000,bill,
ne,102,upper,LB 1084,"Require all land leased by the Board of Educational Lands and Funds be open to the public for hunting, fur harvesting, and fishing",2012-08-31 01:32:33.350000,2012-09-01 01:31:13.051000,bill,
ne,102,upper,LB 1085,Adopt the Tourism Development Act and provide for the transfer of state sales tax revenue,2012-08-31 01:32:33.496000,2012-09-01 01:31:13.054000,bill,
ne,102,upper,LB 1086,Provide an additional ground for seeking grandparent visitation,2012-08-31 01:32:33.557000,2012-09-01 01:31:13.057000,bill,
ne,102,upper,LB 1087,Create the Natural Gas Fuel Board,2012-08-31 01:32:33.726000,2012-09-01 01:31:13.075000,bill,
ne,102,upper,LB 1087A,Appropriation Bill,2012-08-31 01:32:33.746000,2012-09-01 01:31:13.082000,bill,
ne,102,upper,LB 1088,"Change notice, summons, and warrant provisions of the Nebraska Juvenile Code",2012-08-31 01:32:33.756000,2012-09-01 01:31:13.096000,bill,
ne,102,upper,LB 1089,Appropriate funds for construction of a cancer research facility,2012-08-31 01:32:33.772000,2012-09-01 01:31:13.104000,bill,
ne,102,upper,LB 109,Eliminate certain registrations under the Agricultural Liming Materials Act,2011-09-22 17:37:51.086000,2012-09-01 01:30:57.904000,bill,
ne,102,upper,LB 1090,Provide for the awarding of grants and the distribution of information relating to the Summer Food Service Program by the State Department of Education,2012-08-31 01:32:33.818000,2012-09-01 01:31:13.125000,bill,
ne,102,upper,LB 1090A,Appropriation Bill,2012-08-31 01:32:33.860000,2012-09-01 01:31:13.132000,bill,
ne,102,upper,LB 1091,Adopt the Prepaid Wireless Surcharge Act and eliminate certain charges on prepaid wireless service,2012-08-31 01:32:33.946000,2012-09-01 01:31:13.139000,bill,
ne,102,upper,LB 1091A,Appropriation Bill,2012-08-31 01:32:34.008000,2012-09-01 01:31:13.152000,bill,
ne,102,upper,LB 1092,Require information and training regarding the disposal of mercury-containing light bulbs,2012-08-31 01:32:34.039000,2012-09-16 01:21:04.541000,bill,
ne,102,upper,LB 1093,Change provisions relating to foreclosure proceedings for delinquent real estate taxes,2012-08-31 01:32:34.173000,2012-09-01 01:31:13.167000,bill,
ne,102,upper,LB 1094,Provide for an election in certain counties to require elections by mail,2012-08-31 01:32:34.194000,2012-09-01 01:31:13.170000,bill,
ne,102,upper,LB 1095,Provide for Beef State license plates,2012-08-31 01:32:34.214000,2012-09-01 01:31:13.173000,bill,
ne,102,upper,LB 1096,Prohibit entry into a motor vehicle without permission of the owner or for the purpose of committing a crime,2012-08-31 01:32:34.224000,2012-09-01 01:31:13.176000,bill,
ne,102,upper,LB 1097,Exempt purchases of nonprofit mental health centers from sales and use tax,2012-08-31 01:32:34.249000,2012-09-01 01:31:13.182000,bill,
ne,102,upper,LB 1098,Repeal the Build Nebraska Act and change distribution of sales and use tax revenue,2012-08-31 01:32:34.259000,2012-09-01 01:31:13.187000,bill,
ne,102,upper,LB 1099,Change expense provisions under the Nebraska Juvenile Code,2012-08-31 01:32:34.273000,2012-09-01 01:31:13.190000,bill,
ne,102,upper,LB 11,Revisor bill to correct an internal reference in the Employment Security Law,2011-09-22 17:37:49.947000,2012-10-18 01:04:37.656000,bill,
ne,102,upper,LB 110,Eliminate soil conditioner registration under the Nebraska Commercial Fertilizer and Soil Conditioner Act,2011-09-22 17:37:51.095000,2012-09-01 01:30:57.913000,bill,
ne,102,upper,LB 1100,Create a legislative advisory committee to study and report regarding health care services and health care insurance,2012-08-31 01:32:34.300000,2012-09-01 01:31:13.194000,bill,
ne,102,upper,LB 1101,Change provisions relating to election of county assessors,2012-08-31 01:32:34.346000,2012-09-01 01:31:13.200000,bill,
ne,102,upper,LB 1102,Change inheritance tax rates and exemption amounts,2012-08-31 01:32:34.420000,2012-09-01 01:31:13.205000,bill,
ne,102,upper,LB 1103,Provide access to deceased family member's medical records,2012-08-31 01:32:34.447000,2012-09-01 01:31:13.208000,bill,
ne,102,upper,LB 1104,"Change postsecondary education provisions relating to recurrent authorization to operate, community college levy limits, and the Nebraska educational savings plan program",2012-08-31 01:32:34.476000,2012-09-01 01:31:13.279000,bill,
ne,102,upper,LB 1105,Change and eliminate provisions relating to schools,2012-08-31 01:32:34.500000,2012-09-01 01:31:13.287000,bill,
ne,102,upper,LB 1106,Change provisions relating to assessment of improvements on leased public land,2012-08-31 01:32:34.523000,2012-09-01 01:31:13.296000,bill,
ne,102,upper,LB 1107,Change provisions relating to the movement of vehicles and other property after an accident and provide immunity,2012-08-31 01:32:34.540000,2012-09-01 01:31:13.310000,bill,
